Brand,Product Name,Refurbished/New,Color ,Ram,Storage,Product Cost,Product Ratings,Product Review
Samsung, Samsung Galaxy F12 ,Refurbished,  Sea Green,4.00,128.00,9699.00,3.00,16.00
Samsung,Samsung Galaxy A14   ,New,Dark Red ,6.00,128.00,17999.00,3.00,16.00
Samsung, Samsung Galaxy Note 20 ,Refurbished,  Mystic Green,8.00,256.00,33399.00,3.00,75.00
Samsung, Samsung Galaxy A33  ,Refurbished, Orange ,8.00,128.00,19399.00,5.00,1.00
Samsung,Samsung Galaxy S23  ,New,Green  ,8.00,256.00,67200.00,4.00,11.00
Samsung, Samsung Galaxy F41 ,New,  Fusion Blue,6.00,64.00,12093.00,3.00,76.00
Samsung, Samsung Galaxy M11 ,New,  Black,4.00,64.00,9514.00,4.00,40.00
Samsung, Samsung Galaxy A33  ,Refurbished, Black ,6.00,128.00,18699.00,3.00,13.00
Samsung, Samsung Galaxy S23 Ultra  ,Refurbished, Phantom Black,12.00,256.00,102640.00,3.00,5.00
Samsung, Samsung Galaxy A34  ,Refurbished,  Awesome Silver,8.00,128.00,23999.00,3.00,5.00
Samsung, Samsung Galaxy A53 ,Refurbished, Black ,6.00,128.00,20999.00,3.00,15.00
Samsung, Samsung Galaxy M13 ,Refurbished,  Midnight Blue,6.00,128.00,20999.00,4.00,155.00
Samsung, Samsung Galaxy S22  ,Refurbished,  Bora Purple,8.00,128.00,45299.00,5.00,3.00
Samsung, Samsung Galaxy S21 Ultra,Refurbished, Ultra Phantom Black,12.00,256.00,51990.00,3.00,69.00
Samsung, Samsung Galaxy A33   ,Refurbished, Light Blue,8.00,128.00,18699.00,3.00,12.00
Samsung, Samsung Galaxy A34  ,Refurbished,  Awesome Graphite,8.00,256.00,24997.00,3.00,1.00
Samsung, Samsung Galaxy S23 Ultra  ,Refurbished, Ultra Phantom Black,12.00,512.00,114748.00,5.00,1.00
Samsung, Samsung Galaxy S22 Ultra  ,Refurbished, Ultra Green,12.00,256.00,72248.00,4.00,56.00
Samsung, Samsung Galaxy Note 20 ,Refurbished,  Mystic Bronze,8.00,256.00,33399.00,3.00,75.00
Samsung, Samsung Galaxy A14  ,Refurbished,  Light Green,8.00,128.00,15998.00,2.00,1.00
Samsung, Samsung Galaxy S23  ,Refurbished,  Phantom Black,8.00,256.00,59999.00,3.00,1.00
Samsung, Samsung Galaxy S21 FE  ,Refurbished,  Lavender,8.00,128.00,26999.00,4.00,82.00
Samsung, Samsung Galaxy S23  ,Refurbished,  Cream,8.00,256.00,59990.00,4.00,8.00
Samsung, Samsung Galaxy A23 ,Refurbished,Silver  ,8.00,128.00,18359.00,3.00,2.00
Samsung,Samsung Galaxy M13  ,New,Aqua Green ,4.00,64.00,9999.00,4.00,30104.00
Samsung,Samsung Galaxy M04  ,New,Dark Blue,4.00,64.00,7499.00,4.00,15878.00
Samsung,Samsung Galaxy M04  ,New,Light Green ,4.00,64.00,7499.00,4.00,15878.00
Samsung,Samsung Galaxy A54   ,New,Awesome Violet ,8.00,256.00,38999.00,4.00,735.00
Samsung,Samsung Galaxy M04  ,New,Light Green ,4.00,128.00,8499.00,4.00,15878.00
Samsung,Samsung Galaxy M04  ,New,Dark Blue,4.00,128.00,8499.00,4.00,15878.00
Samsung,Samsung Galaxy M14  ,New,Smoky Teal ,6.00,128.00,13990.00,4.00,14043.00
Samsung,Samsung Galaxy M34  ,New,Midnight Blue ,8.00,256.00,22499.00,4.00,9114.00
Samsung,Samsung Galaxy M13  ,New,Stardust Brown ,4.00,64.00,9999.00,4.00,30104.00
Samsung,Samsung Galaxy M13  ,New,Midnight Blue ,4.00,64.00,9999.00,4.00,30104.00
Samsung,Samsung Galaxy A14   ,New,Black  ,6.00,128.00,16999.00,4.00,1362.00
Samsung,Samsung Galaxy M14  ,New,Berry Blue ,6.00,128.00,13990.00,4.00,14043.00
Samsung,Samsung Galaxy M34  ,New,Prism Silver ,6.00,128.00,18499.00,4.00,9114.00
Samsung,Samsung Galaxy M34  ,New,Prism Silver ,8.00,128.00,20499.00,4.00,9114.00
Samsung,Samsung Galaxy M34  ,New,Waterfall Blue ,8.00,128.00,20499.00,4.00,9114.00
Samsung,Samsung Galaxy A34   ,New,Awesome Lime ,8.00,256.00,30999.00,4.00,1340.00
Samsung,Samsung Galaxy Z Flip  ,New,Black  ,8.00,256.00,40999.00,3.00,127.00
Samsung,Samsung Galaxy M34  ,New,Waterfall Blue ,8.00,256.00,22499.00,4.00,9114.00
Samsung,Samsung Galaxy A54   ,New,Awesome Graphite ,8.00,256.00,38999.00,4.00,735.00
Samsung,Samsung Galaxy M34  ,New,Midnight Blue ,6.00,128.00,18499.00,4.00,9114.00
Samsung,Samsung Galaxy F54   ,New,Stardust Silver ,8.00,256.00,25430.00,3.00,45.00
Samsung,Samsung Galaxy A34   ,New,Awesome Graphite ,8.00,128.00,28999.00,4.00,1340.00
Samsung,Samsung Galaxy M34  ,New,Prism Silver ,8.00,256.00,22499.00,4.00,9114.00
Samsung,Samsung Galaxy A34   ,New,Awesome Silver ,8.00,128.00,28999.00,4.00,1340.00
Samsung,Samsung Galaxy S23 FE  ,New,Graphite  ,8.00,128.00,59999.00,4.00,208.00
Samsung,Samsung Galaxy M34  ,New,Prism Silver ,8.00,128.00,20499.00,4.00,9114.00
Samsung,Samsung Galaxy M14  ,New,ICY Silver ,4.00,128.00,12490.00,4.00,14043.00
Samsung,Samsung Galaxy S21 FE   ,New,  Cloud Navy,8.00,256.00,34555.00,5.00,1.00
Samsung, Samsung Galaxy S20 FE ,Refurbished,  Cloud Navy,8.00,128.00,18599.00,4.00,488.00
Samsung,Samsung Galaxy M14  ,New,Smoky Teal ,4.00,128.00,12490.00,4.00,14043.00
Samsung,Samsung Galaxy M14  ,New,ICY Silver ,6.00,128.00,13990.00,4.00,14043.00
Samsung,Samsung Galaxy M32   ,New,Sky Blue ,6.00,128.00,16999.00,4.00,33399.00
Samsung,Samsung Galaxy A13 ,New,Black  ,6.00,128.00,16999.00,4.00,1354.00
Samsung,Samsung Galaxy A14   ,New,Light Green ,6.00,128.00,16999.00,4.00,1362.00
Samsung,Samsung Galaxy M34  ,New,Waterfall Blue ,6.00,128.00,18499.00,4.00,9114.00
Samsung,Samsung Galaxy A14   ,New,Dark Red ,8.00,128.00,18999.00,4.00,1362.00
Samsung,Samsung Galaxy M14  ,New,Berry Blue ,4.00,128.00,12490.00,4.00,14043.00
Samsung,Samsung Galaxy S23 FE  ,New,Purple  ,8.00,128.00,59999.00,4.00,208.00
Samsung,Samsung Galaxy A54   ,New,Awesome Graphite ,8.00,256.00,38999.00,4.00,735.00
Samsung,Samsung Galaxy A34   ,New,Awesome Silver ,8.00,128.00,28999.00,4.00,1340.00
Samsung,Samsung Galaxy A34   ,New,Awesome Violet ,8.00,256.00,30999.00,4.00,1340.00
Samsung,Samsung Galaxy A04e  ,New,Copper  ,3.00,64.00,9999.00,4.00,109.00
Samsung,Samsung Galaxy S21 FE  ,New,Olive  ,8.00,128.00,31479.00,4.00,1420.00
Samsung,Samsung Galaxy Z Flip4   ,New,Graphite  ,8.00,256.00,84999.00,3.00,169.00
Samsung,Samsung Galaxy S23 FE  ,New,Graphite  ,8.00,256.00,64999.00,4.00,208.00
Samsung,Samsung Galaxy F54   ,New,Meteor Blue ,8.00,256.00,24990.00,4.00,77.00
Samsung,Samsung Galaxy A54   ,New,Awesome Lime ,8.00,256.00,38999.00,4.00,735.00
Samsung,Samsung Galaxy A23  ,New,Light Blue ,8.00,128.00,23999.00,4.00,719.00
Samsung,Samsung Galaxy S23  ,New,Green  ,8.00,256.00,79999.00,4.00,1222.00
Samsung,Samsung Galaxy S22 Ultra   ,New,Green  ,12.00,256.00,84999.00,4.00,2182.00
Samsung,Samsung Galaxy S23  ,New,Cream  ,8.00,256.00,79999.00,4.00,1222.00
Samsung,Samsung Galaxy S23 FE  ,New,Purple  ,8.00,256.00,64999.00,4.00,208.00
Samsung,Samsung Galaxy A14   ,New,Black  ,4.00,64.00,14499.00,4.00,1362.00
Samsung,Samsung Galaxy S23 FE  ,New,Mint  ,8.00,128.00,59999.00,4.00,208.00
Samsung,Samsung Galaxy M34  ,New,Midnight Blue ,6.00,128.00,18499.00,4.00,9114.00
Samsung,Samsung Galaxy A34   ,New,Awesome Lime ,8.00,128.00,28999.00,4.00,1340.00
Samsung,Samsung Galaxy A23  ,New,Light Blue ,6.00,128.00,21999.00,4.00,719.00
Samsung,Samsung Galaxy S23  ,New,Cream  ,8.00,128.00,74999.00,4.00,1222.00
Samsung,Samsung Galaxy Z Flip5  ,New,Lavender  ,8.00,512.00,109999.00,4.00,186.00
Samsung,Samsung Galaxy Z Flip5  ,New,Graphite  ,8.00,256.00,99999.00,4.00,186.00
Samsung,Samsung Galaxy S23 FE  ,New,Mint  ,8.00,128.00,59999.00,4.00,208.00
Samsung,Samsung Galaxy Z Flip5  ,New,Mint  ,8.00,256.00,99999.00,4.00,186.00
Samsung,Samsung Galaxy Note10+ ,New,Aura Black ,12.00,256.00,53798.00,4.00,687.00
Samsung,Samsung Galaxy S21 FE   ,New,  Olive,8.00,256.00,34190.00,4.00,17.00
Samsung,Samsung Galaxy Z Flip5  ,New,Graphite  ,8.00,512.00,109999.00,4.00,186.00
Samsung,Samsung Galaxy S23 Ultra  ,New,Green  ,12.00,512.00,134999.00,4.00,742.00
Samsung,Samsung Galaxy Z Flip5  ,New,Cream  ,8.00,256.00,99999.00,4.00,186.00
Samsung,Samsung Galaxy A54   ,New,Awesome Graphite ,8.00,128.00,36999.00,4.00,735.00
Samsung,Samsung Galaxy A14   ,New,Dark Red ,8.00,128.00,18999.00,4.00,1362.00
Samsung,Samsung F14  ,New,OMG Black ,6.00,128.00,11300.00,4.00,13.00
Samsung,Samsung Galaxy Z Flip3  ,New,Cream  ,8.00,128.00,,4.00,314.00
Samsung,Samsung Galaxy S21 Plus,New,Phantom Violet ,8.00,128.00,49999.00,4.00,533.00
Samsung,Samsung Galaxy On5 SM-G550F,New,Gold,na,na,8990.00,4.00,106.00
Samsung,Samsung Galaxy S23  ,New,Green  ,8.00,128.00,74999.00,4.00,1222.00
Samsung,Samsung Galaxy A34   ,New,Awesome Violet ,8.00,128.00,28999.00,4.00,1340.00
Samsung,Samsung F14  ,New,O.M.G. Black ,4.00,128.00,11398.00,4.00,2.00
Samsung,Samsung Galaxy A14   ,New,Light Green ,4.00,64.00,14499.00,4.00,1362.00
Samsung,Samsung Galaxy On7 SM-G600FY Smart Phone ,New,Gold,na,na,8590.00,3.00,55.00
Samsung,Samsung Galaxy A34   ,New,Awesome Graphite ,8.00,256.00,30999.00,4.00,1340.00
Samsung,Samsung Galaxy A05s  ,New,Black  ,4.00,128.00,13499.00,3.00,9.00
Samsung,Samsung Galaxy S23 Ultra  ,New,Cream  ,12.00,512.00,134999.00,4.00,742.00
Samsung,Samsung Galaxy A34   ,New,Awesome Lime ,8.00,128.00,28999.00,4.00,1340.00
Samsung,Samsung Galaxy A04s ,New,Green  ,4.00,64.00,11999.00,4.00,665.00
Samsung,Samsung Galaxy S23  ,New,Phantom Black ,8.00,256.00,79999.00,4.00,1222.00
Samsung,Samsung Galaxy S21 FE  ,New,Graphite  ,8.00,128.00,30749.00,4.00,1420.00
Samsung,Samsung Guru 1215 ,New,Black  ,,na,2099.00,4.00,69022.00
Samsung,Samsung Galaxy On7 SM-G600FZDDINS ,New,Black  ,,na,8490.00,4.00,25.00
Samsung,Samsung Galaxy S23  ,New,Lavender  ,8.00,256.00,79999.00,4.00,1222.00
Samsung,Samsung Galaxy A14   ,New,Dark Red ,6.00,128.00,16999.00,4.00,229.00
Samsung,Samsung Galaxy A05  ,New,Silver  ,4.00,64.00,9999.00,4.00,229.00
Samsung,Samsung Galaxy A05  ,New,Black  ,4.00,64.00,9999.00,4.00,229.00
Samsung,Samsung Galaxy S20  ,New,Cloud Blue ,8.00,128.00,34999.00,4.00,277.00
Samsung,Samsung Galaxy A12 ,New,Black  ,6.00,128.00,12999.00,4.00,2454.00
Samsung,Samsung Galaxy A14   ,New,Black  ,4.00,64.00,14499.00,4.00,1362.00
Samsung,Samsung Galaxy A04s ,New,Black  ,4.00,64.00,11999.00,4.00,665.00
Samsung,Samsung Galaxy A23  ,New,Orange,6.00,128.00,21999.00,4.00,719.00
Samsung,Samsung Galaxy S23 FE  ,New,Graphite  ,8.00,128.00,59999.00,4.00,208.00
Samsung,Samsung Galaxy F04  ,New,Jade Purple,4.00,64.00,7150.00,3.00,16.00
Samsung,Samsung Galaxy S21 Plus,New,Phantom Black ,8.00,128.00,49000.00,4.00,533.00
Samsung,Samsung Galaxy A05  ,New,Black  ,6.00,128.00,12499.00,4.00,533.00
Samsung,Samsung Galaxy A05s  ,New,Light Violet ,4.00,128.00,13499.00,3.00,9.00
Samsung,Samsung Galaxy A05  ,New,Silver  ,6.00,128.00,12499.00,3.00,9.00
Samsung,Samsung Galaxy A23  ,New,Silver  ,8.00,128.00,23999.00,4.00,719.00
Samsung,Samsung Galaxy A14 ,New,Silver  ,4.00,64.00,12999.00,4.00,57.00
Samsung,Samsung Galaxy S23 Ultra  ,New,Phantom Black ,12.00,512.00,134999.00,4.00,742.00
Samsung,Samsung Galaxy A52  ,New,Black  ,8.00,128.00,22999.00,4.00,2806.00
Samsung, Samsung Galaxy F12 ,Refurbished,  Sea Green,,64.00,7499.00,3.00,46.00
Samsung,Samsung Galaxy A14   ,New,Black  ,8.00,128.00,18999.00,4.00,1362.00
Samsung,Samsung Galaxy A54   ,New,Awesome Graphite ,8.00,128.00,36999.00,4.00,735.00
Samsung,Samsung Galaxy A21s  ,New,Blue  ,6.00,64.00,12149.00,4.00,910.00
Samsung, Samsung Galaxy F41 ,Refurbished,  Fusion Blue,6.00,128.00,9999.00,3.00,94.00
Samsung, Samsung Galaxy A12 ,Refurbished,  Black,4.00,64.00,9499.00,5.00,2.00
Samsung,Samsung Galaxy A14   ,New,Light Green ,8.00,128.00,18999.00,4.00,1362.00
Samsung,Samsung Galaxy Z Fold4   ,New,Graygreen  ,12.00,256.00,139999.00,2.00,144.00
Samsung, Samsung Galaxy M13 ,Refurbished,  Aqua Green,4.00,64.00,8999.00,4.00,155.00
Samsung,Samsung Galaxy Z Flip4   ,New,Bora Purple,8.00,128.00,79999.00,3.00,169.00
Samsung,Samsung Galaxy A52  ,New,Black  ,6.00,128.00,21999.00,4.00,2806.00
Samsung,Samsung Galaxy Z Flip5  ,New,Mint  ,8.00,512.00,109999.00,4.00,186.00
Samsung,Samsung Galaxy A04  ,New,Green  ,4.00,64.00,11999.00,4.00,138.00
Samsung, Samsung Galaxy S21 Plus  ,Refurbished,  Phantom Black,8.00,256.00,43999.00,4.00,63.00
Samsung,Samsung Galaxy Z Fold5  ,New,Phantom Black ,12.00,512.00,164999.00,4.00,186.00
Samsung,Samsung Galaxy S21 FE   ,New,  Olive,8.00,256.00,34600.00,4.00,133.00
Samsung, Samsung Galaxy A22  ,Refurbished,  Violet,6.00,128.00,10449.00,4.00,65.00
Samsung,Samsung Galaxy A23  ,New,Silver  ,6.00,128.00,21999.00,4.00,719.00
Samsung, Samsung Galaxy S20 FE  ,Refurbished,  Cloud Mint,8.00,128.00,23299.00,4.00,304.00
Samsung, Samsung Galaxy A23 ,Refurbished, Peach ,6.00,128.00,13099.00,4.00,47.00
Samsung,Samsung Galaxy S23  ,New,Phantom Black ,8.00,128.00,74999.00,4.00,1222.00
Samsung, Samsung Galaxy Z Fold3  ,Refurbished,  Phantom Black,12.00,256.00,84999.00,3.00,8.00
Samsung, Samsung Galaxy S21 FE  ,Refurbished,  Olive,8.00,128.00,26999.00,4.00,82.00
Samsung, Samsung Galaxy S20 FE  ,Refurbished,  Cloud Lavender,8.00,128.00,23969.00,4.00,65.00
Samsung, Samsung Galaxy F12 ,Refurbished,  Sky Blue,,64.00,9541.00,4.00,37.00
Samsung, Samsung Galaxy A22  ,Refurbished,  Gray,6.00,128.00,13499.00,4.00,65.00
Samsung,Samsung Galaxy A05  ,New,Light Green ,4.00,64.00,9999.00,4.00,65.00
Samsung, Samsung Galaxy A12 ,Refurbished,  Black,6.00,128.00,9999.00,3.00,6.00
Samsung, Samsung Galaxy A21S ,Refurbished,  Black,4.00,64.00,7190.00,3.00,6.00
